,ch,py,en
0,的,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear"
1,一,yi1,one/1/single/a(n)
2,是,shi4,is/are/am/yes/to be
3,不,bu4/bu2,(negative prefix)/not/no
4,了,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"
5,在,zai4,(located) at/in/exist
6,人,ren2,man/person/people
7,有,you3,to have/there is/there are/to exist/to be
8,我,wo3,I/me/myself
9,他,ta1,he/him
10,这,zhe4/zhei4,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)"
11,个,ge4,(a measure word)/individual
12,们,men,(plural marker for pronouns and a few animate nouns)
13,中,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"
14,来,lai2,to come
15,上,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"
16,大,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"
17,为,wei2/wei4,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"
18,和,he2/he4/huo2/huo4,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend"
19,国,guo2,country/state/nation
20,地,de/di4,"(subor. part. adverbial)/-ly, earth/ground/field/place/land"
21,到,dao4,to (a place)/until (a time)/up to/to go/to arrive
22,以,yi3,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
23,说,shui4/shuo1,"persuade (politically), to speak/to say"
24,时,shi2,o'clock/time/when/hour/season/period
25,要,yao1/yao4,"demand/ask/request/coerce, important/vital/to want/to be going to/must"
26,就,jiu4,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
27,出,chu1,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)"
28,会,hui4/kuai4,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting"
29,可,ke3,can/may/able to/certain(ly)/to suit/(particle used for emphasis)
30,也,ye3,also/too
31,你,ni3,you
