py,ch,en
a,啊,"(interj.) / ah, an interjection / to express doubt or to question / to show realization / to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)
modal particle ending sentence, showing affirmation, approval, or consent"
ā,阿,"an initial particle / prefix to names of people, (phonetic character), (final part.) / (interj.), flatter
flatter"
hē,呵,"(phonetic particle), expel breath / my goodness
expel breath / my goodness"
á,嗄,"ah (exclamatory part.), hoarse
hoarse"
āi,埃,"dirt / dust / angstrom
dust / dirt / Angstrom or Ångström, unit of length equal to 10^-10 meters / phonetic ai or e / abbr. for Egypt 埃及[Ai1 ji2]"
āi,哎,"an interjection / hey / lookout / why etc
hey! / (interjection used to attract attention or to express surprise or disapprobation)"
āi,哀,"sorrow / grief / pity / to grieve for / to pity / to lament
sorrow / grief / pity / to grieve for / to pity / to lament / to condole"
āi,挨,"lean to / in order / in sequence, next to / suffer (hunger) / endure / drag out / delay / stall / play for time
to suffer / to endure / to pull through (hard times) / to delay / to stall / to play for time / to dawdle"
āi,唉,"an interjection / to express realization or agreement (yes, oh, right, etc), alas / oh dear
alas / oh dear"
ái,捱,"dawdle / suffer
variant of 挨[ai2]"
ái,皑,"white (of snow, etc.)
white (of snow etc)"
ái,癌,"cancer, cancer (old pronuniation) / carcinoma
cancer / carcinoma / also pr. [yan2]"
ǎi,霭,"cloudy sky / friendly
mist / haze / cloudy sky"
ǎi,蔼,"friendly
friendly"
ǎi,矮,"short (not tall)
low / short (in length)"
ài,嗳,"(interj. of disapproval), (interj. of regret)
(interj. of regret)"
ài,碍,"to hinder / to obstruct / to block
to hinder / to obstruct / to block"
ài,隘,"a pass or defile / narrow / confined / in distress
pass / defile / narrow / confined / in distress"
ài,爱,"to love / affection / to be fond of / to like
to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen)"
ài,瑷,"jasper / precious stone
fine quality jade"
ài,暧,"obscure / clandestine
(of daylight) dim / obscure / clandestine / dubious"
ài,艾,"(surname) / Artemisia vulgaris / Chinese mugwort
to mow / to cut / to reap / to redress"
ài,嫒,"your daughter (hon.)
your daughter (honorific)"
ān,鹌,"quail
quail"
ān,谙,"be versed in / know well
to be versed in / to know well"
ān,鞍,"saddle
saddle"
ān,桉,"eucalyptus globulus
Eucalyptus globulus / Taiwan pr. [an4]"
ān,庵,"hut / Buddhist convent / small Buddhist temple
variant of 庵[an1]"
ān,氨,"ammonia
ammonia"
ān,安,"content / calm / still / quiet / to pacify / peace
content / calm / still / quiet / safe / secure / in good health / to find a place for / to install / to fix / to fit / to bring (a charge against sb) / to pacify / to harbor (good intentions) / security / safety / peace / ampere"
ǎn,俺,"I (northern dialects)
I (northern dialects)"
ān,铵,"ammonium
ammonium"
è,胺,"amine
amine / Taiwan pr. [an1]"
àn,按,"to press (with the hand) / to push / to control / to restrain / to check / pressing down (brush movement in painting) / according to / in the light of
to press / to push / to leave aside or shelve / to control / to restrain / to keep one's hand on / to check or refer to / according to / in the light of / (of an editor or author) to make a comment"
àn,犴,"jail
jail"
àn,岸,"bank / shore / beach / coast
bank / shore / beach / coast / CL:個|个[ge4]"
àn,黯,"deep black / dark
deep black / dark / dull (color)"
àn,案,"(legal) case / incident / record / file / table
(legal) case / incident / record / file / table"
àn,暗,"dark / gloomy / hidden / secret, to shut the door / unilluminated
to close (a door) / to eclipse / muddled / stupid / ignorant / variant of 暗[an4]"
háng,肮,"filthy, dirty / filthy
dirty / filthy"
áng,昂,"high / raise (head), high / soaring / raise / lift / expensive / to raise one's head
to lift / to raise / to raise one's head / high / high spirits / soaring / expensive"
àng,盎,"abundant / bowl / dish / pot
abundant / bowl / dish / pot"
āo,凹,"a depression / indentation / concave / hollow
variant of 窪|洼[wa1] / (used in names)"
áo,熬,"to boil / stew / to simmer, endure / to boil
to cook on a slow fire / to extract by heating / to decoct / to endure"
