ch,pyn,py,en
的,de / di2 / di4,de,"(possessive particle) / of, really and truly, aim / clear
aim / clear"
一,yi1,yī,"one / 1 / single / a(n)
one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / ""one"" radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
是,shi4,shì,"is / are / am / yes / to be
variant of 是[shi4] / (used in given names)"
不,bu4 / bu2,bù,"(negative prefix) / not / no
(negative prefix) / not / no"
了,le / liao3 / liao4,le,"(modal particle intensifying preceding clause) / (completed action marker), to know / to understand / to know, clear, look afar from a high place
unofficial variant of 瞭[liao4]"
在,zai4,zài,"(located) at / in / exist
(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"
人,ren2,rén,"man / person / people
man / person / people / CL:個|个[ge4],位[wei4]"
有,you3,yǒu,"to have / there is / there are / to exist / to be
to have / there is / there are / to exist / to be"
我,wo3,wǒ,"I / me / myself
I / me / my"
他,ta1,tā,"he / him
he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another"
这,zhe4 / zhei4,zhè,"this / these, this / these / (sometimes used before a measure word, especially in Beijing)
this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
个,ge4,gè,"(a measure word) / individual
variant of 個|个[ge4]"
们,men,men,"(plural marker for pronouns and a few animate nouns)
plural marker for pronouns, and nouns referring to individuals"
中,zhong1 / zhong4,zhōng,"within / among / in / middle / center / while (doing sth) / during / China / Chinese, hit (the mark)
to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)"
来,lai2,lái,"to come
to come / to arrive / to come round / ever since / next"
上,shang4,shàng,"on / on top / upon / first (of two parts) / previous or last (week, etc.) / upper / higher / above / previous / to climb / to go into / above / to go up
on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"
大,da4 / dai4,dà,"big / huge / large / major / great / wide / deep / oldest / eldest, doctor
see 大夫[dai4 fu5]"
为,wei2 / wei4,wèi,"act as / take...to be / to be / to do / to serve as / to become, because of / for / to
variant of 為|为[wei4], because of / for / to"
和,he2 / he4 / huo2 / huo4,hé,"and / together with / with / peace / harmony / union, cap (a poem) / respond in singing, soft / warm, mix together / to blend
old variant of 和[he2] / harmonious"
国,guo2,guó,"country / state / nation
country / nation / state / national / CL:個|个[ge4]"
地,de / di4,dì,"(subor. part. adverbial) / -ly, earth / ground / field / place / land
earth / ground / field / place / land / CL:片[pian4]"
到,dao4,dào,"to (a place) / until (a time) / up to / to go / to arrive
to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)"
以,yi3,yǐ,"to use / according to / so as to / in order to / by / with / because / Israel (abbrev.)
to use / by means of / according to / in order to / because of / at (a certain date or place)"
说,shui4 / shuo1,shuō,"persuade (politically), to speak / to say
to speak / to say / to explain / to scold / to tell off / a theory (usually in compounds such as 日心说 heliocentric theory)"
时,shi2,shí,"o'clock / time / when / hour / season / period
o'clock / time / when / hour / season / period"
要,yao1 / yao4,yào,"demand / ask / request / coerce, important / vital / to want / to be going to / must
important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if"
就,jiu4,jìu,"at once / then / right away / only / (emphasis) / to approach / to move towards / to undertake
at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"
