ID	lemma	PoS	freq	texts
5	y	c	56512137	2060441
15	haber	v	15650321	1748075
25	todo	d	8064135	1508820
35	lo	l	4510621	1159034
45	muy	r	3217251	960091
55	entre	e	2607744	961116
65	eso	p	2220159	718568
75	grande	j	1914869	783370
85	mismo	p	1749887	722008
95	ahora	r	1591819	667245
105	cual	p	1355711	590161
115	tomar	v	1245477	572267
125	sentir	v	1165633	454057
135	mayor	j	1097031	535487
145	contra	e	1039671	427060
155	sistema	n	1000110	352494
165	hora	n	939824	458316
175	grupo	n	902747	391476
185	casa	n	862495	359172
195	poco	r	826687	404796
205	diferente	j	782727	422187
215	empezar	v	768964	382822
225	pueblo	n	737451	240410
235	casi	r	707652	393989
245	amor	n	674603	217040
255	producir	v	651826	312110
265	pequeño	j	622058	346695
275	razón	n	600655	322197
285	mí	p	567691	248189
295	paso	n	551884	323249
305	servir	v	535003	311148
315	sentido	n	514103	270921
325	salud	n	498840	212407
335	camino	n	489765	264011
345	señalar	v	478100	283552
355	medio	j	460900	276867
365	decisión	n	456723	242397
375	dicho	p	446108	258943
385	luz	n	430776	202967
395	cuatro	m	418165	258972
405	menos	j	411935	260875
415	serie	n	401168	200135
425	allí	r	395402	215468
435	negocio	n	388883	163528
445	iglesia	n	381222	97034
455	bajo	j	374016	235171
465	enviar	v	365515	206072
475	fuente	n	360664	209409
485	institución	n	353936	175041
495	suceder	v	347145	213687
505	aspecto	n	341353	203641
515	término	n	334164	176777
525	cabeza	n	326564	187899
535	estudiar	v	319337	173469
545	real	j	314955	186823
555	voz	n	310208	165170
565	simplemente	r	303527	195409
575	entregar	v	297787	180493
585	blanco	j	294709	154466
595	versión	n	288668	149908
605	sueño	n	283710	135959
615	pareja	n	277767	107766
625	beneficio	n	270277	157594
635	mente	n	268085	140643
645	defender	v	264363	150819
655	público	n	258306	152503
665	viaje	n	255343	133232
675	campaña	n	252060	129794
685	formación	n	248682	124870
695	adelante	r	245920	166602
705	análisis	n	243470	133007
715	motivo	n	240996	164382
725	constituir	v	237941	130765
735	partir	v	234595	163497
745	vivo	j	232388	142638
755	cine	n	229699	84522
765	antiguo	j	227353	134841
775	suerte	n	225734	139251
785	corresponder	v	222713	136428
795	visión	n	220460	131193
805	deseo	n	217684	123212
815	echar	v	213196	133834
825	seis	m	212146	143357
835	operación	n	210697	105462
845	marcar	v	208195	146181
855	reunir	v	206374	143840
865	perfecto	j	204124	130374
875	temporada	n	201705	87945
885	ataque	n	199917	99774
895	voluntad	n	197972	106809
905	planta	n	196233	78043
915	específico	j	194455	122633
925	pasado	n	192502	124569
935	directamente	r	189940	135627
945	planeta	n	188748	84975
955	cámara	n	186831	90286
965	ministro	n	184857	90036
975	jamás	r	183037	115229
985	empleo	n	181825	88501
995	jaja	i	178314	62846
1005	recuperar	v	175946	117317
1015	aquel	p	174106	107570
1025	arma	n	172707	81672
1035	lo	e	171084	125416
1045	vehículo	n	169227	71741
1055	comunicar	v	167185	112298
1065	radio	n	165359	88351
1075	exponer	v	164050	114321
1085	propósito	n	162863	105741
1095	estadounidense	j	161938	86685
1105	alguno	p	159932	115714
1115	puesto	n	158013	101563
1125	escritor	n	157393	72456
1135	cargar	v	155648	108420
1145	puro	j	154195	99377
1155	emitir	v	153407	99360
1165	dios	n	152572	56265
1175	hermoso	j	151006	92162
1185	oficina	n	150151	90240
1195	salvar	v	149234	92601
1205	quizá	r	147089	90872
1215	confianza	n	145390	96809
1225	norte	n	143701	85739
1235	negativo	j	142205	88885
1245	introducir	v	141119	95007
1255	sonar	v	139070	94251
1265	meta	n	138094	83838
1275	barrio	n	137122	75370
1285	asimismo	r	136240	102806
1295	sujeto	n	134341	55148
1305	confiar	v	132826	89474
1315	literatura	n	132078	59683
1325	francés	j	131270	69621
1335	sorprender	v	129752	99015
1345	abierto	j	129149	96824
1355	célula	n	128549	34852
1365	habitante	n	127539	79348
1375	bonito	j	126492	79899
1385	acudir	v	125441	88952
1395	ubicado	j	124536	89587
1405	evaluar	v	123713	79356
1415	ocho	m	122928	88872
1425	evolución	n	121941	69917
1435	perfil	n	120763	72518
1445	requisito	n	119414	63354
1455	armar	v	118551	77652
1465	experimentar	v	117304	80485
1475	bello	j	116046	70722
1485	biblia	n	115156	35588
1495	inteligente	j	113830	72753
1505	escoger	v	113080	77689
1515	caja	n	111608	58707
1525	absoluto	j	111091	72979
1535	despertar	v	110525	76675
1545	evidente	j	109971	80041
1555	justificar	v	109325	73978
1565	reto	n	108632	75274
1575	tecnológico	j	107370	64526
1585	bastar	v	105949	79141
1595	detectar	v	105327	68493
1605	múltiple	j	104747	77318
1615	tranquilo	j	103405	75381
1625	manejo	n	102838	62997
1635	solucionar	v	102112	72255
1645	especialista	n	101322	69987
1655	recomendación	n	100627	68267
